"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","VISIT1","VISIT2","VISIT3","VISIT4","VISIT5","VISIT6","VISIT7","VISIT8","VISIT9","VISIT10","VISIT11","VISIT12","VISIT13","VISIT14","VISIT15","VISIT16","VISIT17","VISIT18","VISIT19","VISIT20","VISIT21","VISIT22","VISIT23","VISIT24","VISIT25","VISIT26","VISIT27","VISIT28","VISIT29","Total.visits","TOTAL.TIME","stingless_bee","honey_bee","sumvisits","p_stingless_bee","p_honey_bee","duration","V1D","cent_d","cent_v1","cent_sd"
"76","KD6D_",19,1,2018,"30_","12_",826,18.89,17.68,2.58,55,2,"KD6D_30_12_826","V","HB","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","",8,188,0,8,8,0,1,188,4,1.3914364618112,-0.674667870799792,1.71187375672386
"77","KD6C_",22,1,2018,"1_","10_",830,20.6,20.09,3.61,77,1,"KD6C_1_10_830","V","Mixed","S","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,92,1,6,7,0.142857142857143,0.857142857142857,92,8,-0.0800459164077433,-0.510082872308459,0.114598183951301
"79","KD6C_",22,1,2018,"1_","10_",833,21.43,20.05,3.68,127,3,"KD6C_1_10_833","V","Mixed","H","S","H","H","S","H","S","H","H","S","","","","","","","","","","","","","","","","","","","",10,106,4,6,10,0.4,0.6,106,31,0.134545263749185,0.43628086901671,-0.0291566175982292
"80","KD6C_",22,1,2018,"3_","8_",834,15,15.1,1.55,36,1,"KD6C_3_8_834","V","Mixed","S","H","S","","","","","","","","","","","","","","","","","","","","","","","","","","",3,7,2,1,3,0.666666666666667,0.333333333333333,7,3,-1.3829209387891,-0.715814120422626,-1.16322227426675
"81","KD6C_",22,1,2018,"3_","8_",835,16.94,15.86,1.96,70,2,"KD6C_3_8_835","V","Mixed","H","H","H","S","S","H","S","S","S","H","S","S","","","","","","","","","","","","","","","","","",12,118,7,5,12,0.583333333333333,0.416666666666667,118,39,0.318480561026553,0.765450865999377,0.0347344053126732
"82","KD6C_",22,1,2018,"3_","8_",836,16.76,15.99,2.11,86,3,"KD6C_3_8_836","V","Mixed","H","H","H","H","H","S","H","S","S","S","H","","","","","","","","","","","","","","","","","","",11,182,4,7,11,0.363636363636364,0.636363636363636,182,40,1.29946881317251,0.806597115622211,1.04101801615939
"83","KD6C_",22,1,2018,"3_","8_",837,17.77,16.91,2.94,92,3,"KD6C_3_8_837","V","Mixed","H","S","S","","","","","","","","","","","","","","","","","","","","","","","","","","",3,37,2,1,3,0.666666666666667,0.333333333333333,37,2,-0.923082695595677,-0.756960370045459,-0.668066846707253
"84","KD6C_",22,1,2018,"3_","8_",838,16.44,16.12,2.13,78,2,"KD6C_3_8_838","V","Mixed","S","S","H","H","S","S","H","S","S","S","H","S","S","v","H","","","","","","","","","","","","","","",15,80,9,5,14,0.642857142857143,0.357142857142857,78,3,-0.294637096564672,-0.715814120422626,-0.0291566175982292
"85","KD6C_",22,1,2018,"5_","2_",839,20.47,18.22,3.57,96,3,"KD6C_5_2_839","V","Mixed","S","S","S","H","S","H","S","H","S","S","S","S","H","H","H","S","1","H","S","H","","","","","","","","","",20,147,11,8,19,0.578947368421053,0.421052631578947,137,10,0.609711448382384,-0.427790373062792,0.801426680243501
"86","KD6C_",22,1,2018,"5_","2_",840,19.83,18.76,3.42,92,3,"KD6C_5_2_840","V","Mixed","S","S","H","S","S","H","S","S","S","H","S","H","S","H","S","","","","","","","","","","","","","","",15,146,10,5,15,0.666666666666667,0.333333333333333,146,10,0.74766292134041,-0.427790373062792,0.945181481793032
